Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition
Foggy,Highway,Afternoon,0.0,50.0,3.0,0.0,Dry,Bus,43.0,39.0,Daylight
Foggy,Highway,Evening,1.0,50.0,1.0,0.0,Dry,Car,46.0,39.0,Daylight
Rainy,Highway,Morning,2.0,80.0,1.0,0.0,Wet,Motorcycle,42.0,39.0,Daylight
Snowy,Rural Road,Afternoon,1.0,50.0,3.0,0.0,Dry,Car,67.0,62.0,Artificial Light
Clear,City Road,Morning,0.0,60.0,5.0,0.0,Wet,Motorcycle,53.0,48.0,Artificial Light
Foggy,Highway,Morning,2.0,50.0,4.0,1.0,Wet,Car,53.0,50.0,Artificial Light
Rainy,Mountain Road,Morning,2.0,50.0,1.0,0.0,Dry,Motorcycle,61.0,54.0,Artificial Light
Rainy,Rural Road,Afternoon,0.0,192.0,10.0,1.0,Dry,Motorcycle,60.0,53.0,Artificial Light
Foggy,Rural Road,Afternoon,1.0,30.0,4.0,1.0,Dry,Car,29.0,26.0,Artificial Light
Rainy,City Road,Evening,2.0,80.0,4.0,0.0,Icy,Car,22.0,19.0,Artificial Light
Clear,City Road,Afternoon,0.0,120.0,1.0,0.0,Dry,Car,46.0,40.0,Artificial Light
Clear,Rural Road,Afternoon,1.0,50.0,5.0,0.0,Dry,Car,58.0,58.0,Artificial Light
Rainy,Highway,Morning,0.0,100.0,4.0,0.0,Dry,Car,39.0,35.0,Artificial Light
Clear,City Road,Evening,0.0,60.0,4.0,0.0,Dry,Car,58.0,49.0,No Light
Rainy,Highway,Morning,0.0,30.0,3.0,0.0,Icy,Car,59.0,56.0,No Light
Rainy,City Road,Night,0.0,60.0,2.0,0.0,Dry,Car,35.0,34.0,Artificial Light
Foggy,Highway,Morning,0.0,100.0,3.0,0.0,Icy,Car,46.0,43.0,Artificial Light
Clear,Highway,Night,1.0,80.0,3.0,1.0,Dry,Car,32.0,24.0,Artificial Light
Clear,City Road,Morning,0.0,80.0,2.0,0.0,Dry,Car,19.0,14.0,Artificial Light
Clear,Highway,Morning,1.0,100.0,5.0,0.0,Under Construction,Motorcycle,19.0,13.0,Daylight
Rainy,City Road,Afternoon,1.0,60.0,3.0,0.0,Wet,Car,21.0,17.0,Artificial Light
Snowy,City Road,Afternoon,1.0,50.0,2.0,0.0,Dry,Car,34.0,27.0,Artificial Light
Clear,Highway,Evening,2.0,80.0,3.0,0.0,Dry,Truck,48.0,40.0,Daylight
Clear,Highway,Evening,1.0,30.0,5.0,0.0,Dry,Car,59.0,59.0,Daylight
Rainy,Rural Road,Afternoon,2.0,100.0,2.0,0.0,Icy,Car,43.0,59.0,Artificial Light
Stormy,Highway,Evening,2.0,30.0,3.0,0.0,Icy,Car,46.0,46.0,No Light
Rainy,Rural Road,Afternoon,1.0,50.0,3.0,0.0,Wet,Car,49.0,46.0,Artificial Light
Rainy,Highway,Morning,0.0,60.0,4.0,0.0,Wet,Car,48.0,41.0,Artificial Light
Rainy,Highway,Evening,2.0,80.0,2.0,0.0,Dry,Car,52.0,46.0,Daylight
Rainy,City Road,Evening,1.0,213.0,14.0,0.0,Dry,Car,59.0,58.0,No Light
Clear,City Road,Afternoon,1.0,100.0,1.0,0.0,Under Construction,Truck,49.0,40.0,Artificial Light
Clear,Rural Road,Afternoon,2.0,60.0,3.0,0.0,Icy,Bus,48.0,39.0,Daylight
Rainy,Highway,Afternoon,1.0,30.0,3.0,0.0,Dry,Motorcycle,40.0,32.0,Daylight
Clear,City Road,Morning,1.0,50.0,1.0,0.0,Under Construction,Motorcycle,59.0,50.0,Daylight
Foggy,City Road,Evening,0.0,50.0,3.0,0.0,Under Construction,Motorcycle,61.0,61.0,Daylight
Clear,City Road,Morning,1.0,60.0,2.0,0.0,Dry,Car,33.0,31.0,Artificial Light
Rainy,City Road,Afternoon,1.0,30.0,3.0,0.0,Dry,Car,43.0,54.0,No Light
Clear,Rural Road,Morning,1.0,50.0,5.0,0.0,Icy,Truck,50.0,41.0,No Light
Clear,Highway,Afternoon,1.0,30.0,5.0,0.0,Dry,Car,63.0,55.0,Artificial Light
Snowy,Highway,Morning,1.0,100.0,3.0,0.0,Under Construction,Car,64.0,57.0,Artificial Light
Rainy,Rural Road,Night,0.0,30.0,3.0,1.0,Dry,Car,51.0,42.0,No Light
Clear,City Road,Morning,1.0,100.0,4.0,0.0,Icy,Car,53.0,48.0,Artificial Light
Clear,City Road,Afternoon,2.0,50.0,2.0,0.0,Wet,Car,34.0,30.0,Daylight
Clear,Rural Road,Afternoon,0.0,80.0,1.0,0.0,Dry,Car,64.0,61.0,Daylight
Clear,Highway,Evening,1.0,50.0,2.0,0.0,Under Construction,Truck,61.0,52.0,Daylight
Clear,Rural Road,Afternoon,2.0,120.0,5.0,0.0,Wet,Car,19.0,17.0,Daylight
Foggy,Mountain Road,Morning,2.0,60.0,4.0,0.0,Dry,Motorcycle,45.0,40.0,No Light
Clear,Highway,Morning,2.0,100.0,5.0,0.0,Wet,Car,27.0,24.0,Artificial Light
Rainy,Highway,Afternoon,2.0,30.0,1.0,0.0,Icy,Car,39.0,30.0,Artificial Light
Clear,Mountain Road,Night,0.0,50.0,1.0,0.0,Icy,Motorcycle,40.0,39.0,Artificial Light
Rainy,Highway,Evening,2.0,60.0,2.0,0.0,Dry,Car,18.0,18.0,Daylight
Rainy,Highway,Night,2.0,50.0,5.0,0.0,Under Construction,Car,67.0,62.0,Daylight
Rainy,Rural Road,Evening,0.0,80.0,3.0,1.0,Dry,Truck,47.0,40.0,Daylight
Clear,Rural Road,Afternoon,0.0,30.0,4.0,0.0,Dry,Car,54.0,53.0,Daylight
Clear,Highway,Afternoon,1.0,30.0,3.0,0.0,Dry,Motorcycle,47.0,46.0,Artificial Light
Foggy,City Road,Morning,2.0,60.0,4.0,0.0,Dry,Car,36.0,32.0,Artificial Light
Clear,Highway,Morning,0.0,100.0,5.0,0.0,Wet,Motorcycle,41.0,32.0,Artificial Light
Rainy,Highway,Evening,2.0,30.0,3.0,0.0,Dry,Car,64.0,63.0,Daylight
Rainy,Mountain Road,Morning,0.0,50.0,4.0,0.0,Under Construction,Car,41.0,33.0,Daylight
Foggy,City Road,Evening,0.0,60.0,2.0,1.0,Icy,Car,29.0,28.0,Daylight
Snowy,City Road,Evening,2.0,100.0,5.0,0.0,Icy,Truck,60.0,57.0,Artificial Light
Clear,City Road,Evening,2.0,60.0,2.0,0.0,Dry,Car,51.0,44.0,Artificial Light
Foggy,Rural Road,Night,1.0,120.0,2.0,0.0,Icy,Bus,68.0,67.0,Artificial Light
Foggy,Highway,Morning,1.0,80.0,3.0,0.0,Dry,Car,21.0,13.0,Daylight
Rainy,Highway,Morning,1.0,80.0,1.0,0.0,Dry,Car,26.0,24.0,No Light
Stormy,City Road,Afternoon,2.0,100.0,4.0,0.0,Icy,Car,68.0,65.0,No Light
Rainy,Highway,Afternoon,1.0,120.0,1.0,0.0,Dry,Car,27.0,26.0,Daylight
Snowy,City Road,Evening,1.0,80.0,5.0,0.0,Dry,Car,30.0,22.0,Daylight
Rainy,Highway,Afternoon,0.0,80.0,4.0,0.0,Wet,Car,66.0,61.0,Artificial Light
Clear,City Road,Afternoon,2.0,50.0,1.0,1.0,Dry,Car,43.0,55.0,Daylight
Clear,Rural Road,Night,0.0,60.0,2.0,0.0,Dry,Car,38.0,34.0,Artificial Light
Rainy,Highway,Afternoon,1.0,120.0,3.0,0.0,Wet,Bus,64.0,61.0,Artificial Light
Rainy,Highway,Evening,0.0,60.0,3.0,0.0,Dry,Car,26.0,25.0,Artificial Light
Clear,Mountain Road,Evening,1.0,50.0,3.0,0.0,Dry,Car,48.0,45.0,Artificial Light
Clear,Highway,Afternoon,2.0,60.0,2.0,0.0,Dry,Car,37.0,30.0,Daylight
Foggy,Rural Road,Afternoon,1.0,80.0,1.0,0.0,Dry,Car,52.0,52.0,Artificial Light
Clear,Highway,Morning,0.0,60.0,1.0,0.0,Dry,Car,48.0,39.0,Daylight
Clear,Rural Road,Night,1.0,50.0,2.0,1.0,Dry,Motorcycle,42.0,35.0,Artificial Light
Snowy,Rural Road,Evening,2.0,30.0,4.0,0.0,Dry,Truck,45.0,45.0,Daylight
Rainy,Highway,Evening,0.0,80.0,4.0,0.0,Dry,Car,28.0,20.0,Artificial Light
Foggy,Mountain Road,Afternoon,1.0,60.0,4.0,0.0,Under Construction,Car,46.0,42.0,Artificial Light
Rainy,Highway,Night,2.0,100.0,1.0,0.0,Dry,Car,43.0,38.0,Daylight
Clear,Highway,Evening,0.0,50.0,4.0,0.0,Icy,Car,37.0,31.0,Artificial Light
Foggy,City Road,Afternoon,0.0,50.0,2.0,0.0,Icy,Car,58.0,49.0,Artificial Light
Foggy,Highway,Morning,2.0,60.0,5.0,0.0,Wet,Car,51.0,47.0,Artificial Light
Clear,Rural Road,Evening,1.0,100.0,1.0,1.0,Dry,Truck,54.0,46.0,Artificial Light
Rainy,Highway,Morning,2.0,60.0,3.0,0.0,Dry,Car,48.0,48.0,Artificial Light
Foggy,Highway,Afternoon,1.0,80.0,2.0,0.0,Dry,Car,27.0,25.0,Daylight
Clear,City Road,Morning,2.0,198.0,11.0,0.0,Under Construction,Car,62.0,60.0,Artificial Light
Clear,City Road,Morning,0.0,60.0,2.0,0.0,Under Construction,Car,64.0,58.0,No Light
Clear,Rural Road,Afternoon,0.0,100.0,4.0,1.0,Under Construction,Car,21.0,39.0,Artificial Light
Clear,City Road,Morning,1.0,192.0,10.0,0.0,Dry,Car,19.0,18.0,Artificial Light
Foggy,City Road,Evening,2.0,60.0,4.0,0.0,Icy,Car,31.0,30.0,Daylight
Snowy,Rural Road,Afternoon,2.0,30.0,5.0,1.0,Dry,Car,56.0,50.0,Artificial Light
Foggy,Rural Road,Morning,1.0,60.0,5.0,0.0,Icy,Truck,32.0,31.0,No Light
Clear,Highway,Afternoon,0.0,80.0,5.0,0.0,Dry,Car,22.0,14.0,Daylight
Snowy,Highway,Afternoon,2.0,80.0,1.0,0.0,Dry,Car,54.0,54.0,Artificial Light
Clear,City Road,Night,1.0,50.0,2.0,0.0,Icy,Car,38.0,38.0,Artificial Light
Clear,Rural Road,Morning,2.0,50.0,2.0,0.0,Icy,Car,24.0,24.0,Daylight
Snowy,City Road,Evening,0.0,60.0,5.0,0.0,Dry,Car,23.0,19.0,Artificial Light
Clear,Highway,Night,2.0,30.0,2.0,1.0,Dry,Car,60.0,55.0,Artificial Light
Snowy,Highway,Afternoon,2.0,50.0,4.0,0.0,Wet,Car,44.0,35.0,Daylight
Foggy,City Road,Afternoon,1.0,80.0,5.0,0.0,Wet,Car,37.0,34.0,Daylight
Foggy,Mountain Road,Night,1.0,60.0,1.0,0.0,Under Construction,Car,58.0,58.0,Daylight
Foggy,Highway,Morning,1.0,50.0,3.0,0.0,Wet,Car,57.0,53.0,No Light
Stormy,Highway,Evening,0.0,60.0,1.0,0.0,Dry,Car,23.0,20.0,Artificial Light
Rainy,City Road,Afternoon,1.0,50.0,3.0,0.0,Dry,Car,43.0,42.0,Daylight
Rainy,Highway,Night,1.0,80.0,4.0,0.0,Dry,Car,69.0,66.0,Artificial Light
Rainy,Mountain Road,Afternoon,2.0,30.0,5.0,0.0,Dry,Car,27.0,25.0,Artificial Light
Clear,City Road,Afternoon,1.0,30.0,1.0,0.0,Wet,Car,65.0,61.0,Artificial Light
Rainy,Highway,Morning,1.0,30.0,3.0,0.0,Dry,Motorcycle,69.0,64.0,Daylight
Clear,Highway,Evening,2.0,50.0,3.0,0.0,Dry,Car,54.0,47.0,No Light
Snowy,City Road,Afternoon,0.0,60.0,4.0,0.0,Icy,Car,52.0,51.0,Daylight
Snowy,Highway,Morning,1.0,80.0,4.0,1.0,Dry,Car,33.0,27.0,Daylight
Clear,Highway,Evening,1.0,80.0,3.0,0.0,Wet,Motorcycle,48.0,42.0,Daylight
Clear,Highway,Morning,2.0,60.0,5.0,0.0,Wet,Motorcycle,42.0,39.0,Daylight
Rainy,City Road,Evening,1.0,80.0,3.0,0.0,Icy,Truck,27.0,20.0,Daylight
Foggy,City Road,Afternoon,2.0,50.0,2.0,0.0,Wet,Truck,55.0,47.0,Daylight
Clear,City Road,Evening,0.0,100.0,3.0,1.0,Dry,Truck,47.0,40.0,Daylight
Clear,Highway,Evening,1.0,60.0,4.0,0.0,Icy,Car,39.0,35.0,Daylight
Rainy,Mountain Road,Morning,1.0,60.0,3.0,0.0,Dry,Car,59.0,51.0,Artificial Light
Rainy,Highway,Evening,0.0,120.0,2.0,0.0,Dry,Truck,43.0,33.0,Artificial Light
Foggy,City Road,Evening,0.0,80.0,3.0,0.0,Under Construction,Motorcycle,22.0,18.0,Daylight
Clear,Highway,Afternoon,1.0,206.0,11.0,0.0,Icy,Car,39.0,35.0,Artificial Light
Clear,City Road,Afternoon,0.0,60.0,3.0,0.0,Dry,Truck,22.0,13.0,Daylight
Clear,Rural Road,Evening,2.0,60.0,3.0,0.0,Dry,Car,20.0,39.0,Artificial Light
Clear,Highway,Afternoon,1.0,50.0,4.0,0.0,Dry,Car,52.0,48.0,Daylight
Clear,Highway,Afternoon,1.0,80.0,5.0,0.0,Dry,Car,38.0,35.0,Daylight
Rainy,Highway,Morning,1.0,50.0,3.0,1.0,Under Construction,Motorcycle,27.0,22.0,Daylight
Clear,Highway,Night,2.0,60.0,1.0,0.0,Wet,Car,45.0,42.0,Daylight
Rainy,Highway,Night,2.0,80.0,3.0,0.0,Dry,Car,41.0,33.0,Artificial Light
Clear,City Road,Afternoon,2.0,60.0,2.0,0.0,Icy,Car,53.0,51.0,Artificial Light
Rainy,Mountain Road,Evening,0.0,212.0,10.0,0.0,Wet,Truck,27.0,27.0,Artificial Light
Clear,Highway,Evening,2.0,60.0,2.0,0.0,Dry,Car,59.0,57.0,Daylight
Rainy,Highway,Night,1.0,30.0,5.0,0.0,Icy,Car,55.0,54.0,Daylight
Snowy,Highway,Morning,2.0,100.0,2.0,0.0,Wet,Car,26.0,17.0,Daylight
Rainy,Highway,Afternoon,2.0,60.0,1.0,0.0,Icy,Car,57.0,55.0,Artificial Light
Clear,City Road,Afternoon,0.0,60.0,5.0,0.0,Dry,Car,36.0,32.0,Artificial Light
Foggy,Highway,Night,1.0,60.0,1.0,0.0,Icy,Car,60.0,52.0,No Light
Snowy,Highway,Afternoon,2.0,30.0,1.0,0.0,Dry,Truck,39.0,37.0,Artificial Light
Foggy,City Road,Night,1.0,80.0,4.0,0.0,Dry,Car,24.0,22.0,Daylight
Clear,Mountain Road,Evening,1.0,30.0,5.0,0.0,Icy,Car,19.0,39.0,Artificial Light
Rainy,City Road,Morning,0.0,80.0,5.0,0.0,Dry,Car,69.0,65.0,Daylight
Rainy,Highway,Night,1.0,30.0,4.0,1.0,Icy,Car,54.0,51.0,No Light
Rainy,City Road,Morning,2.0,50.0,4.0,0.0,Dry,Car,58.0,58.0,Daylight
Stormy,City Road,Evening,1.0,100.0,4.0,0.0,Under Construction,Car,66.0,65.0,Artificial Light
Clear,Highway,Afternoon,2.0,181.0,10.0,0.0,Under Construction,Car,62.0,54.0,Artificial Light
Foggy,City Road,Night,1.0,60.0,1.0,0.0,Dry,Truck,32.0,26.0,Artificial Light
Stormy,Rural Road,Afternoon,2.0,30.0,2.0,0.0,Icy,Motorcycle,47.0,43.0,Daylight
Rainy,Rural Road,Evening,1.0,60.0,2.0,0.0,Dry,Car,20.0,18.0,Daylight
Clear,City Road,Evening,0.0,50.0,1.0,0.0,Dry,Car,32.0,31.0,Artificial Light
Rainy,Highway,Afternoon,1.0,60.0,4.0,0.0,Dry,Car,51.0,44.0,Artificial Light
Clear,Highway,Night,1.0,80.0,3.0,0.0,Icy,Car,46.0,39.0,Daylight
Clear,Rural Road,Afternoon,1.0,50.0,3.0,1.0,Icy,Car,43.0,30.0,Daylight
Rainy,Highway,Night,1.0,80.0,4.0,0.0,Dry,Car,64.0,56.0,Daylight
Clear,Highway,Afternoon,1.0,60.0,4.0,0.0,Wet,Car,33.0,24.0,Artificial Light
Clear,City Road,Morning,2.0,80.0,5.0,0.0,Dry,Car,33.0,30.0,Artificial Light
Clear,City Road,Evening,0.0,60.0,5.0,0.0,Dry,Truck,66.0,62.0,Daylight
Rainy,Highway,Evening,1.0,60.0,4.0,0.0,Dry,Car,43.0,62.0,Artificial Light
Clear,Highway,Afternoon,1.0,60.0,2.0,1.0,Icy,Motorcycle,43.0,54.0,Artificial Light
Snowy,Highway,Afternoon,1.0,60.0,5.0,0.0,Icy,Car,24.0,23.0,No Light
Foggy,Highway,Evening,1.0,60.0,1.0,1.0,Dry,Car,29.0,22.0,Artificial Light
Foggy,Rural Road,Afternoon,0.0,100.0,3.0,0.0,Dry,Car,43.0,54.0,Artificial Light
Rainy,Highway,Evening,2.0,60.0,5.0,1.0,Icy,Motorcycle,67.0,61.0,Artificial Light
Rainy,Highway,Evening,1.0,50.0,3.0,1.0,Icy,Car,61.0,60.0,Daylight
Clear,Highway,Afternoon,2.0,60.0,1.0,1.0,Dry,Car,36.0,27.0,Artificial Light
Clear,Highway,Evening,1.0,80.0,3.0,0.0,Dry,Car,43.0,53.0,Daylight
Rainy,City Road,Afternoon,0.0,60.0,2.0,0.0,Icy,Car,65.0,62.0,Artificial Light
Rainy,Highway,Evening,1.0,50.0,1.0,0.0,Dry,Truck,19.0,10.0,Artificial Light
Foggy,City Road,Morning,2.0,60.0,3.0,0.0,Wet,Car,46.0,41.0,Daylight
Clear,Highway,Evening,1.0,60.0,3.0,0.0,Dry,Motorcycle,67.0,67.0,Artificial Light
Clear,City Road,Evening,0.0,30.0,1.0,0.0,Wet,Car,33.0,25.0,Daylight
Rainy,City Road,Evening,2.0,50.0,1.0,0.0,Dry,Car,53.0,44.0,Daylight
Rainy,Rural Road,Morning,1.0,50.0,5.0,0.0,Wet,Car,50.0,42.0,Artificial Light
Clear,City Road,Morning,2.0,50.0,2.0,0.0,Wet,Truck,43.0,23.0,Daylight
Snowy,Highway,Morning,2.0,60.0,2.0,0.0,Dry,Motorcycle,26.0,24.0,Artificial Light
Clear,Highway,Afternoon,2.0,100.0,4.0,0.0,Dry,Motorcycle,56.0,52.0,Artificial Light
Clear,Highway,Morning,1.0,50.0,5.0,1.0,Dry,Truck,51.0,47.0,Artificial Light
Rainy,Highway,Night,2.0,50.0,3.0,0.0,Wet,Car,43.0,34.0,Artificial Light
Foggy,City Road,Evening,2.0,50.0,3.0,0.0,Dry,Car,19.0,13.0,Artificial Light
Stormy,Highway,Afternoon,0.0,60.0,5.0,1.0,Dry,Truck,18.0,10.0,Artificial Light
Snowy,Highway,Afternoon,1.0,100.0,2.0,0.0,Icy,Car,34.0,27.0,Daylight
Clear,Highway,Evening,1.0,80.0,3.0,0.0,Dry,Bus,34.0,26.0,Artificial Light
Snowy,Highway,Afternoon,0.0,60.0,2.0,0.0,Dry,Car,48.0,40.0,Artificial Light
Stormy,Highway,Night,1.0,60.0,4.0,0.0,Dry,Car,30.0,24.0,Artificial Light
Snowy,Highway,Afternoon,1.0,50.0,4.0,0.0,Wet,Car,49.0,44.0,Artificial Light
Foggy,Rural Road,Afternoon,0.0,100.0,3.0,0.0,Dry,Car,66.0,62.0,Daylight
Clear,City Road,Afternoon,2.0,60.0,2.0,0.0,Dry,Bus,35.0,27.0,Artificial Light
Rainy,Rural Road,Afternoon,2.0,50.0,1.0,0.0,Wet,Car,50.0,46.0,Artificial Light
Clear,Highway,Afternoon,1.0,60.0,3.0,0.0,Dry,Car,22.0,13.0,Artificial Light
Stormy,City Road,Afternoon,0.0,60.0,1.0,0.0,Under Construction,Motorcycle,44.0,38.0,No Light
Clear,Rural Road,Afternoon,0.0,80.0,5.0,0.0,Icy,Car,43.0,39.0,No Light
Rainy,City Road,Evening,0.0,60.0,3.0,0.0,Dry,Motorcycle,51.0,49.0,Daylight
Clear,Highway,Afternoon,1.0,50.0,2.0,0.0,Under Construction,Car,65.0,62.0,Artificial Light
Clear,Highway,Afternoon,0.0,80.0,1.0,0.0,Dry,Car,50.0,50.0,Artificial Light
Snowy,Highway,Afternoon,0.0,80.0,2.0,0.0,Under Construction,Car,35.0,29.0,Daylight
Clear,City Road,Evening,0.0,60.0,2.0,0.0,Wet,Car,23.0,17.0,Daylight
Rainy,City Road,Morning,1.0,120.0,3.0,1.0,Icy,Car,54.0,49.0,No Light
Rainy,Highway,Afternoon,0.0,80.0,5.0,0.0,Dry,Truck,39.0,38.0,Artificial Light
Clear,Highway,Morning,1.0,100.0,5.0,0.0,Wet,Truck,69.0,61.0,Daylight
Rainy,City Road,Evening,1.0,100.0,2.0,0.0,Dry,Car,67.0,67.0,Artificial Light
Clear,City Road,Evening,1.0,120.0,3.0,0.0,Dry,Car,25.0,17.0,Artificial Light
Clear,City Road,Evening,2.0,60.0,4.0,0.0,Dry,Car,66.0,60.0,Artificial Light
Clear,City Road,Afternoon,1.0,60.0,3.0,0.0,Under Construction,Car,67.0,65.0,Artificial Light
Rainy,Highway,Night,1.0,100.0,1.0,0.0,Under Construction,Car,53.0,53.0,Artificial Light
Clear,Rural Road,Afternoon,2.0,80.0,3.0,0.0,Dry,Car,36.0,31.0,Daylight
Clear,City Road,Night,1.0,50.0,5.0,0.0,Dry,Car,25.0,17.0,Daylight
Rainy,Rural Road,Afternoon,1.0,100.0,1.0,0.0,Dry,Truck,43.0,16.0,Daylight
Stormy,Highway,Night,1.0,50.0,4.0,1.0,Under Construction,Motorcycle,68.0,64.0,Artificial Light
Clear,Highway,Afternoon,2.0,80.0,2.0,0.0,Dry,Bus,24.0,22.0,Daylight
Rainy,Highway,Morning,0.0,30.0,1.0,0.0,Dry,Car,69.0,62.0,Artificial Light
Clear,City Road,Afternoon,1.0,60.0,2.0,0.0,Under Construction,Car,57.0,55.0,Artificial Light
Rainy,Highway,Night,2.0,80.0,3.0,0.0,Dry,Car,53.0,51.0,Artificial Light
Foggy,Rural Road,Evening,0.0,50.0,1.0,0.0,Dry,Car,23.0,17.0,Daylight
Rainy,City Road,Afternoon,1.0,80.0,1.0,0.0,Wet,Car,43.0,42.0,Artificial Light
Snowy,Rural Road,Night,1.0,80.0,4.0,0.0,Under Construction,Car,48.0,39.0,Artificial Light
Clear,Highway,Afternoon,0.0,50.0,4.0,0.0,Wet,Car,58.0,56.0,Daylight
Stormy,City Road,Afternoon,1.0,100.0,2.0,0.0,Wet,Car,68.0,62.0,Daylight
Clear,City Road,Afternoon,0.0,100.0,5.0,0.0,Icy,Car,33.0,31.0,Artificial Light
Clear,Highway,Afternoon,2.0,80.0,4.0,0.0,Under Construction,Truck,31.0,27.0,Artificial Light
Foggy,Highway,Afternoon,1.0,120.0,2.0,1.0,Dry,Bus,46.0,40.0,Daylight
Snowy,City Road,Evening,2.0,60.0,5.0,0.0,Dry,Bus,19.0,17.0,Artificial Light
Clear,Highway,Morning,0.0,60.0,1.0,1.0,Icy,Truck,28.0,20.0,Artificial Light
Rainy,City Road,Afternoon,0.0,80.0,4.0,0.0,Icy,Car,33.0,30.0,Daylight
Rainy,Highway,Night,1.0,60.0,5.0,0.0,Dry,Car,27.0,22.0,Artificial Light
Clear,Highway,Evening,1.0,60.0,2.0,0.0,Dry,Car,32.0,26.0,No Light
Foggy,Highway,Evening,1.0,60.0,3.0,0.0,Icy,Car,61.0,56.0,Artificial Light
Foggy,City Road,Afternoon,0.0,100.0,2.0,0.0,Under Construction,Car,37.0,37.0,Artificial Light
Stormy,City Road,Afternoon,0.0,80.0,1.0,0.0,Icy,Car,57.0,48.0,Artificial Light
Rainy,Highway,Afternoon,1.0,80.0,1.0,0.0,Dry,Truck,24.0,23.0,No Light
Clear,City Road,Afternoon,1.0,50.0,5.0,0.0,Dry,Car,25.0,18.0,Daylight
Clear,Highway,Afternoon,1.0,100.0,2.0,1.0,Wet,Car,56.0,51.0,Artificial Light
Clear,City Road,Afternoon,2.0,100.0,3.0,0.0,Dry,Car,21.0,12.0,Artificial Light
Rainy,Highway,Afternoon,2.0,100.0,2.0,0.0,Wet,Car,43.0,60.0,Daylight
Clear,Highway,Evening,0.0,178.0,3.0,0.0,Wet,Car,36.0,35.0,Artificial Light
Clear,City Road,Afternoon,2.0,50.0,3.0,0.0,Dry,Car,20.0,19.0,Daylight
Foggy,City Road,Morning,1.0,80.0,3.0,0.0,Dry,Car,21.0,16.0,Artificial Light
Clear,Highway,Morning,1.0,100.0,2.0,0.0,Wet,Car,56.0,48.0,Artificial Light
Snowy,Highway,Morning,0.0,30.0,2.0,1.0,Under Construction,Car,43.0,39.0,Artificial Light
Snowy,City Road,Evening,1.0,50.0,3.0,0.0,Wet,Car,18.0,12.0,Artificial Light
Rainy,Rural Road,Afternoon,0.0,60.0,4.0,0.0,Dry,Car,53.0,45.0,Daylight
Clear,Highway,Night,2.0,30.0,4.0,0.0,Dry,Car,23.0,15.0,Daylight
Rainy,Rural Road,Evening,2.0,60.0,4.0,0.0,Dry,Motorcycle,52.0,46.0,Daylight
Foggy,Highway,Afternoon,2.0,60.0,3.0,0.0,Dry,Car,25.0,19.0,Artificial Light
Clear,Highway,Afternoon,1.0,60.0,4.0,0.0,Dry,Motorcycle,29.0,21.0,Artificial Light
